,id,BoxOffice
214,unfriended_dark_web,8800000.0
215,all_we_had,
216,cold_blood,
217,the_last_blockbuster,
218,1046045-king_of_the_hill,879600.0
219,mr_jones_2019,
220,dont_be_afraid_of_the_dark_2011,24000000.0
221,rudo_y_cursi,1800000.0
222,the_butterfly_2004,38400.0
223,rocky_iv,125400000.0
224,aardvark_2018,
225,breaker_morant,
226,andy_warhols_trash,5200.0
227,a_syrian_love_story,
228,good_luck_chuck,35000000.0
229,dumbo_2019,114800000.0
230,mermaids,34900000.0
231,girls_of_the_sun,16000.0
232,love_affair_1994,
233,1040891-night_and_the_city,
234,mission_to_lars,
235,my_own_private_idaho,6400000.0
236,a_bag_of_hammers,
237,theatre_of_blood,
238,mindhunters,4500000.0
239,the_man_who_killed_don_quixote,392000.0
240,you_again,25700000.0
241,nymphomaniac_volume_i,
242,about_elly,106700.0
243,queen_of_earth,78400.0
244,god_said_ha,
245,before_night_falls,4200000.0
246,love_streams,
247,the_body_remembers_when_the_world_broke_open,
248,trumpet_of_the_swan,152500.0
249,stillborn_2018,
250,rock_of_ages_2012,38500000.0
251,girl_with_the_red_riding_hood,37700000.0
252,love_story,
253,the_we_and_the_i,28300.0
254,petes_dragon,
255,my_giant,8000000.0
256,saturday_church,
257,out_stealing_horses,
258,phoenix_forgotten,3600000.0
259,hello_my_name_is_doris,14400000.0
260,ballistic_ecks_vs_sever,14300000.0
261,heaven_knows_what,79100.0
262,cow,22200.0
263,last_call_2020,
264,a_ghost_story,1600000.0
265,ruben_brandt_collector,118000.0
266,reel_injun,
267,the_assassin_2015,632500.0
268,intimate_strangers_2003,2100000.0
269,safer_at_home,
270,the_guard_2011,5400000.0
271,1002531-black_widow,22700000.0
272,moonstruck,80000000.0
273,better_living_through_chemistry,72300.0
274,masterminds_2016,17300000.0
275,the_novice_2021,23000.0
276,1008015-fury,
277,demonlover,231800.0
278,countdown_2019,25600000.0
279,only_yesterday_1991,
280,the_broken_circle_breakdown,
281,tag_2018,54500000.0
282,1006207-dr_jekyll_and_mr_hyde,
283,what_would_jesus_buy,188800.0
284,skate_kitchen,236100.0
285,desperado,24900000.0
286,married_to_the_mob,19700000.0
287,play_it_again_sam,
288,haiku_tunnel,252100.0
289,strawberry_mansion,96200.0
290,broken_hearts_club,1700000.0
291,last_exit_to_brooklyn,1200000.0
292,american_carnage,
293,year_of_the_horse,255700.0
294,kitchen_stories,349300.0
295,dry_white_season,3300000.0
296,1008924-greed,
297,enron_the_smartest_guys_in_the_room,4099999.9999999995
298,happenstance,251400.0
299,1215969-i_sell_the_dead,7100.0
300,texas_chainsaw_massacre_the_next_generation,136300.0
301,the_nutty_professor,
302,the_right_kind_of_wrong,2000.0
303,on_the_waterfront,
304,hannah-montanamiley-cyrus-best-of-both-worlds-concert-tour,65300000.0
305,daytrippers,2100000.0
306,savages_2012,47300000.0
307,luck_2022,
308,the_great_water,87400.0
309,london_to_brighton,
310,rewind_this,
311,1046129-fugitive,183800000.0
312,star_trek_nemesis,500000.0
313,shes_gotta_have_it,5000000.0
314,dredd,13300000.0
315,come_from_away,
316,joe_the_king,59000.0
317,miami_rhapsody,5200000.0
318,hoop_dreams,7800000.0
319,1093905-onegin,183800.0
320,1022314-uncommon_valor,
321,the_brooklyn_brothers_beat_the_best_2011,50500.0
322,we_dont_live_here_anymore,2000000.0
323,minnie_and_moskowitz,
324,lady_and_the_tramp_2019,
325,what_to_expect_when_youre_expecting,41100000.0
326,return_to_sender_2015,
327,mona_lisa_smile,63700000.0
328,thin_ice_2012,789800.0
329,butter_2011,70900.0
330,cobb,648100.0
331,cool_dry_place,
332,10003276-criminal,923400.0
333,shes_the_one,9500000.0
334,let_him_go,9400000.0
335,lets_talk_about_sex_1998,417800.0
336,10008991-informers,
337,overlord_2018,21700000.0
338,master_z_ip_man_legacy,188700.0
339,sex_lies_and_videotape,22700000.0
340,material_girls,11400000.0
341,evidence_2013,
342,1202867-dear_zachary,
343,the_singing_revolution,330000.0
344,1018916-show_boat,
345,northern_soul,6800.0
346,feel_the_noise,5900000.0
347,free_birds_2013,55700000.0
348,babe_pig_in_the_city,18300000.0
349,1021312-three_amigos,36200000.0
350,sleeping_with_other_people,814800.0
351,life_stinks,3800000.0
352,wildcat_2022,
353,freakdog,
354,pierrepoint_the_last_hangman,21800.0
355,presumed_innocent,85700000.0
356,1032522-alice,6800000.0
357,crooked_arrows,1800000.0
358,our_little_sister,496200.0
359,in_order_of_disappearance,49300.0
360,the-adventures-of-sharkboy-and-lavagirl-in-3d,39200000.0
361,the_ambassador,
362,sacro_gra,
363,lords_of_dogtown,11000000.0
364,crimson_gold,147800.0
365,mine_9,
366,1101561-1101561-malena,3400000.0
367,green_lantern,116600000.0
368,8_bit_christmas,
369,the_flood_2019,
370,gabrielle_2013,5500.0
371,1014008-missing_in_action,
372,robot_overlords,
373,acod,172300.0
374,1038518-raven,
375,10011984-last_song,62900000.0
376,lisa_picard_is_famous,112500.0
377,spaceship_2016,
378,desert_dancer,153500.0
379,the_invisible_woman_2013,1200000.0
380,evelyn,1400000.0
381,air-doll,
382,a_thousand_cuts_2020,
383,footloose-2010,51800000.0
384,blood_and_chocolate,3500000.0
385,morbius,73600000.0
386,marguerite,496200.0
387,tyrel,18200.0
388,good_night,22200.0
389,wild_orchid,10700000.0
390,the_eagle_huntress,3200000.0
391,1010012-house,17500000.0
392,in_pursuit_of_silence,29000.0
393,hector_and_the_search_for_happiness,1100000.0
394,1212694-blind_side,256000000.0
395,if_you_build_it,4900.0
396,1492_conquest_of_paradise,6500000.0
397,small_engine_repair_2021,73000.0
398,earth_to_echo,38900000.0
399,lucy_in_the_sky,315000.0
400,richard_jewell,22300000.0
401,steamboat_bill_jr,
402,diminished_capacity,21300.0
403,the_retaliators,
404,package,9300000.0
405,stronger_2017,4200000.0
406,show_dogs,17700000.0
407,straight_talk,20100000.0
408,grow-your-own,
409,somewhere_2010,1800000.0
410,papadopoulos_and_sons_2012,
411,mrs_browns_boys_dmovie,
412,singing_detective,336500.0
413,bullets_over_broadway,11400000.0
414,waste-land,187700.0
415,black_widow_2021,183600000.0
416,purple_hearts_2022,
417,carbon_nation,
418,twentieth_century,
419,vhyes,
420,1095351-1095351-what_planet_are_you_from,6300000.0
421,breaking_news_in_yuba_county,
422,omega_man,
423,mine_vaganti,
424,read_my_lips,1400000.0
425,1041862-forever_young,55000000.0
426,john_mcenroe_in_the_realm_of_perfection,73700.0
427,riding-the-bullet,101100.0
428,vicky_cristina_barcelona,23200000.0
429,song_of_granite,9400.0
430,pickup_on_south_street,
431,fauci,
432,in_darkness_2018,
433,to_the_arctic,14600000.0
434,bug,7000000.0
435,duma,860000.0
436,the_seagull_2018,1200000.0
437,our_nixon,19200.0
438,love_antosha,19900.0
439,yves_saint_laurent,
440,amores_perros,5400000.0
