,name,original_name,popularity,gender,id,known_for_department,adult
91,Masami Nagasawa,長澤まさみ,86.036,1,87637,Acting,False
92,Steven Spielberg,Steven Spielberg,85.677,2,488,Directing,False
93,Zoe Saldaña,Zoe Saldaña,85.647,1,8691,Acting,False
94,Yvonne Strahovski,Yvonne Strahovski,85.542,1,63312,Acting,False
95,Rosamund Pike,Rosamund Pike,84.979,1,10882,Acting,False
96,Chris Pratt,Chris Pratt,84.795,2,73457,Acting,False
97,Mila Kunis,Mila Kunis,84.672,1,18973,Acting,False
98,Chris Hemsworth,Chris Hemsworth,84.653,2,74568,Acting,False
99,Sae Bom,Sae Bom,84.279,1,2472212,Acting,False
100,Helen Mirren,Helen Mirren,84.191,1,15735,Acting,False
101,Jessica Biel,Jessica Biel,84.159,1,10860,Acting,False
102,Chloë Grace Moretz,Chloë Grace Moretz,83.855,1,56734,Acting,False
103,Kevin Costner,Kevin Costner,83.849,2,1269,Acting,False
104,Derya Pınar Ak,Derya Pınar Ak,83.727,1,2414436,Acting,False
105,Angelica Hart,Angelica Hart,83.384,1,4095689,Acting,False
106,Jennifer Lawrence,Jennifer Lawrence,83.381,1,72129,Acting,False
107,Kate Beckinsale,Kate Beckinsale,83.126,1,3967,Acting,False
108,Stephen Graham,Stephen Graham,82.841,2,1115,Acting,False
109,Kevin Hart,Kevin Hart,82.83,2,55638,Acting,False
110,Ian Somerhalder,Ian Somerhalder,82.602,2,19211,Acting,False
111,Damian Hardung,Damian Hardung,82.28,2,1351386,Acting,False
112,Selena Gomez,Selena Gomez,82.226,1,77948,Acting,False
113,Raegan Revord,Raegan Revord,82.079,1,1575317,Acting,False
114,Bae Doona,배두나,81.831,1,21688,Acting,False
115,Kristen Stewart,Kristen Stewart,81.568,1,37917,Acting,False
116,Tom Holland,Tom Holland,81.547,2,1136406,Acting,False
117,Serinda Swan,Serinda Swan,81.526,1,86268,Acting,False
118,Daniel Radcliffe,Daniel Radcliffe,81.5,2,10980,Acting,False
119,Shirō Sano,佐野史郎,81.003,2,73139,Acting,False
120,Keira Knightley,Keira Knightley,80.972,1,116,Acting,False
121,Son Ye-jin,손예진,80.938,1,86889,Acting,False
122,Jesse Plemons,Jesse Plemons,80.331,2,88124,Acting,False
123,Clint Eastwood,Clint Eastwood,80.052,2,190,Acting,False
124,Cole Hauser,Cole Hauser,79.896,2,6614,Acting,False
125,Narilya Gulmongkolpech,Narilya Gulmongkolpech,79.771,1,3131642,Acting,False
126,Uma Thurman,Uma Thurman,79.311,1,139,Acting,False
127,Claudia Doumit,Claudia Doumit,79.128,1,1443420,Acting,False
128,Lena Headey,Lena Headey,77.932,1,17286,Acting,False
129,Zac Efron,Zac Efron,77.824,2,29222,Acting,False
130,Keiko Yokozawa,よこざわけい子,77.746,1,65509,Acting,False
131,Anna-Maria Sieklucka,Anna-Maria Sieklucka,77.629,1,2511949,Acting,False
132,Megan Fox,Megan Fox,77.483,1,19537,Acting,False
133,Emma Myers,Emma Myers,77.41,1,2604515,Acting,False
134,Jin Si-ah,Jin Si-ah,77.275,1,2112856,Acting,False
135,Nicole Wallace,Nicole Wallace,76.919,1,2527414,Acting,False
136,Adria Arjona,Adria Arjona,76.676,1,1371297,Acting,False
137,Martin Lawrence,Martin Lawrence,76.622,2,78029,Acting,False
138,Mayumi Tanaka,田中真弓,76.584,1,65510,Acting,False
139,Jeffrey Dean Morgan,Jeffrey Dean Morgan,76.385,2,47296,Acting,False
140,Isabelle Adjani,Isabelle Adjani,76.294,1,6553,Acting,False
141,Winona Ryder,Winona Ryder,76.216,1,1920,Acting,False
142,Annabelle Wallis,Annabelle Wallis,76.03,1,82809,Acting,False
143,Han Yi-seul,Han Yi-seul,75.911,1,2590519,Acting,False
144,Martin Henderson,Martin Henderson,75.705,2,26291,Acting,False
145,Byeon Woo-seok,변우석,75.621,2,2117890,Acting,False
146,Rebecca Ferguson,Rebecca Ferguson,75.561,1,933238,Acting,False
147,Travis Fimmel,Travis Fimmel,75.528,2,77700,Acting,False
148,Dakota Fanning,Dakota Fanning,75.436,1,501,Acting,False
149,Erika Balagtas,Erika Balagtas,75.375,1,4069355,Acting,False
