,name,original_name,popularity,gender,id,known_for_department,adult
1034,Faye Dunaway,Faye Dunaway,45.775,1,6450,Acting,False
1035,Ning Li,寧理,45.76,2,987205,Acting,False
1036,Milburn Stone,Milburn Stone,45.751,2,86356,Acting,False
1037,Abigail Cowen,Abigail Cowen,45.723,1,1371456,Acting,False
1038,Jennifer Jason Leigh,Jennifer Jason Leigh,45.718,1,10431,Acting,False
1039,Daniela Melchior,Daniela Melchior,45.7,1,1784612,Acting,False
1040,Gina Torres,Gina Torres,45.557,1,9576,Acting,False
1041,Chris Coy,Chris Coy,45.553,2,587438,Acting,False
1042,Simon Baker,Simon Baker,45.542,2,1284159,Acting,False
1043,Eddie Velez,Eddie Velez,45.541,2,88031,Acting,False
1044,Kieran Bew,Kieran Bew,45.521,2,176199,Acting,False
1045,Robert Patrick,Robert Patrick,45.48,2,418,Acting,False
1046,Sanaa Lathan,Sanaa Lathan,45.476,1,5411,Acting,False
1047,Joely Richardson,Joely Richardson,45.475,1,20810,Acting,False
1048,Mary Elizabeth Winstead,Mary Elizabeth Winstead,45.474,1,17628,Acting,False
1049,Tyrese Gibson,Tyrese Gibson,45.465,2,8169,Acting,False
1050,Rachel Ticotin,Rachel Ticotin,45.421,1,10768,Acting,False
1051,Brooke Shields,Brooke Shields,45.404,1,15110,Acting,False
1052,Cole Sprouse,Cole Sprouse,45.343,2,56730,Acting,False
1053,Keri Russell,Keri Russell,45.327,1,41292,Acting,False
1054,Yuzuru Fujimoto,藤本譲,45.315,2,114739,Acting,False
1055,Peter Gallagher,Peter Gallagher,45.293,2,8212,Acting,False
1056,Yen Renee Durano,Yen Renee Durano,45.269,1,3775927,Acting,False
1057,Michelle Fairley,Michelle Fairley,45.268,1,20057,Acting,False
1058,Sarah Rose Karr,Sarah Rose Karr,45.263,1,65300,Acting,False
1059,Jocelyn Hudon,Jocelyn Hudon,45.241,1,1522345,Acting,False
1060,Neil Sandilands,Neil Sandilands,45.237,2,136295,Acting,False
1061,Taylor Swift,Taylor Swift,45.233,1,212208,Acting,False
1062,Daisy Ridley,Daisy Ridley,45.221,1,1315036,Acting,False
1063,Kate Hudson,Kate Hudson,45.183,1,11661,Acting,False
1064,Teruo Ishii,石井輝男,45.167,2,86246,Directing,False
1065,Aleksandr Bashirov,Александр Баширов,45.165,2,86636,Acting,False
1066,Tanya Reynolds,Tanya Reynolds,45.137,1,1731959,Acting,False
1067,Alexis Bledel,Alexis Bledel,45.131,1,6279,Acting,False
1068,Diora Baird,Diora Baird,45.108,1,59263,Acting,False
1069,Emily Carey,Emily Carey,45.1,3,1590758,Acting,False
1070,Dean Cain,Dean Cain,45.097,2,21721,Acting,False
1071,Marina Neyolova,Марина Неёлова,45.079,1,99264,Acting,False
1072,Jennifer Tilly,Jennifer Tilly,45.059,1,7906,Acting,False
1073,Montana Jordan,Montana Jordan,45.038,2,1817307,Acting,False
1074,Candice Bergen,Candice Bergen,45.032,1,11850,Acting,False
1075,Chie Sato,佐藤智恵,45.031,1,1241415,Acting,False
1076,Mark Dacascos,Mark Dacascos,45.03,2,18702,Acting,False
1077,Rosario Dawson,Rosario Dawson,45.02,1,5916,Acting,False
1078,Elizabeth Perkins,Elizabeth Perkins,45.014,1,20,Acting,False
1079,Rosamund Kwan,Rosamund Kwan,45.01,1,65987,Acting,False
1080,Lane Smith,Lane Smith,45.0,2,65019,Acting,False
1081,Morven Christie,Morven Christie,44.998,1,147884,Acting,False
1082,Bronson Pinchot,Bronson Pinchot,44.96,2,4689,Acting,False
1083,Bai Lu,白鹿,44.944,1,1879666,Acting,False
1084,Shelley Hennig,Shelley Hennig,44.937,1,444211,Acting,False
1085,Nancy Dupláa,Nancy Dupláa,44.918,1,114811,Acting,False
1086,Daisy Edgar-Jones,Daisy Edgar-Jones,44.916,1,2230991,Acting,False
1087,Laura Fraser,Laura Fraser,44.914,1,42279,Acting,False
1088,Sunny Sandler,Sunny Sandler,44.909,1,1271681,Acting,False
1089,Jeremy Sumpter,Jeremy Sumpter,44.909,2,65838,Acting,False
1090,Adam Arkin,Adam Arkin,44.89,2,55257,Acting,False
1091,Clive Owen,Clive Owen,44.88,2,2296,Acting,False
1092,Ed Skrein,Ed Skrein,44.861,2,1047649,Acting,False
1093,Matt Lucas,Matt Lucas,44.846,2,26209,Acting,False
1094,Peter Falk,Peter Falk,44.845,2,2314,Acting,False
1095,Javier Bardem,Javier Bardem,44.843,2,3810,Acting,False
1096,David Morse,David Morse,44.842,2,52,Acting,False
1097,Kenneth Branagh,Kenneth Branagh,44.824,2,11181,Acting,False
1098,Rhea Seehorn,Rhea Seehorn,44.814,1,62765,Acting,False
1099,Christian Slater,Christian Slater,44.799,2,2224,Acting,False
1100,Tom Hiddleston,Tom Hiddleston,44.797,2,91606,Acting,False
1101,Harry Styles,Harry Styles,44.789,2,1052109,Acting,False
1102,Sue Ane Langdon,Sue Ane Langdon,44.776,1,21459,Acting,False
1103,Bella Thorne,Bella Thorne,44.759,1,98285,Acting,False
1104,Lisa Eilbacher,Lisa Eilbacher,44.752,1,779,Acting,False
1105,Tara Strong,Tara Strong,44.739,1,15762,Acting,False
1106,Jodi Lyn O'Keefe,Jodi Lyn O'Keefe,44.72,1,58006,Acting,False
1107,Sterling Knight,Sterling Knight,44.653,2,87741,Acting,False
1108,Chae Jong-hyeop,채종협,44.615,2,2934419,Acting,False
1109,Buçe Buse Kahraman,Buçe Buse Kahraman,44.608,1,2525697,Acting,False
1110,Valentina Zenere,Valentina Zenere,44.608,1,1731979,Acting,False
1111,Misako Tanaka,田中美佐子,44.607,1,1237839,Acting,False
1112,Virginia Madsen,Virginia Madsen,44.598,1,12519,Acting,False
1113,James Remar,James Remar,44.586,2,1736,Acting,False
1114,Ahn So-hee,Ahn So-hee,44.571,1,1708576,Acting,False
1115,Neal McDonough,Neal McDonough,44.555,2,2203,Acting,False
1116,Natascha McElhone,Natascha McElhone,44.546,1,11317,Acting,False
1117,Jang Dong-yoon,장동윤,44.536,2,1713025,Acting,False
1118,Mike Colter,Mike Colter,44.53,2,450,Acting,False
1119,Colin Hanks,Colin Hanks,44.504,2,3492,Acting,False
1120,Brendan Gleeson,Brendan Gleeson,44.504,2,2039,Acting,False
1121,Marisa Tomei,Marisa Tomei,44.484,1,3141,Acting,False
1122,Michelle Trachtenberg,Michelle Trachtenberg,44.47,1,49961,Acting,False
1123,Chance Kelly,Chance Kelly,44.468,2,17194,Acting,False
1124,Mark Harmon,Mark Harmon,44.451,2,19728,Acting,False
1125,Charlotte Hope,Charlotte Hope,44.433,1,1052255,Acting,False
1126,Toni Collette,Toni Collette,44.411,1,3051,Acting,False
1127,James Roday Rodriguez,James Roday Rodriguez,44.409,2,80219,Acting,False
1128,Neslihan Atagül,Neslihan Atagül,44.403,1,1254465,Acting,False
1129,Mary Mouser,Mary Mouser,44.401,1,1223084,Acting,False
1130,Harry Hamlin,Harry Hamlin,44.4,2,64825,Acting,False
1131,Gary Cole,Gary Cole,44.398,2,21163,Acting,False
1132,Stephen Greif,Stephen Greif,44.386,2,58501,Acting,False
1133,Corey Burton,Corey Burton,44.376,2,35219,Acting,False
1134,Antonia Thomas,Antonia Thomas,44.362,1,221981,Acting,False
1135,Mikhail Pugovkin,Михаил Пуговкин,44.362,2,86691,Acting,False
1136,Emmanuelle Chriqui,Emmanuelle Chriqui,44.358,1,59192,Acting,False
1137,Frances Fisher,Frances Fisher,44.338,1,3713,Acting,False
1138,Hudson Leick,Hudson Leick,44.32,1,87282,Acting,False
1139,Lynn Collins,Lynn Collins,44.319,1,21044,Acting,False
1140,Sadie Sink,Sadie Sink,44.308,1,1590797,Acting,False
1141,Micaella Raz,Micaella Raz,44.299,1,3582449,Acting,False
1142,Laraine Newman,Laraine Newman,44.286,1,35159,Acting,False
1143,Warren Beatty,Warren Beatty,44.284,2,6449,Acting,False
1144,Devon Aoki,Devon Aoki,44.275,1,6278,Acting,False
1145,Cameron Monaghan,Cameron Monaghan,44.266,2,37089,Acting,False
1146,Takehiro Hira,平岳大,44.258,2,1082509,Acting,False
1147,Tom Kenny,Tom Kenny,44.255,2,78798,Acting,False
1148,Robert Redford,Robert Redford,44.252,2,4135,Acting,False
1149,Lee Jung-eun,이정은,44.243,1,1572354,Acting,False
1150,Sophia Lillis,Sophia Lillis,44.228,1,1481238,Acting,False
1151,James Whitmore,James Whitmore,44.22,2,6577,Acting,False
1152,Laz Alonso,Laz Alonso,44.219,2,10964,Acting,False
1153,Ahn Sung-ki,안성기,44.218,2,17121,Acting,False
1154,Aaron Taylor-Johnson,Aaron Taylor-Johnson,44.212,2,27428,Acting,False
1155,Sophie Marceau,Sophie Marceau,44.211,1,1957,Acting,False
1156,Tom Skerritt,Tom Skerritt,44.209,2,4139,Acting,False
1157,Whitney Cummings,Whitney Cummings,44.198,1,66555,Acting,False
1158,Cemre Arda,Cemre Arda,44.196,1,4454974,Acting,False
1159,Elizabeth Rodriguez,Elizabeth Rodriguez,44.192,1,65421,Acting,False
1160,Michael Jeter,Michael Jeter,44.181,2,2169,Acting,False
1161,Dustin Hoffman,Dustin Hoffman,44.179,2,4483,Acting,False
1162,Masayasu Ōebara,Masayasu Ōebara,44.166,2,1119097,Writing,False
1163,Hwang In-yeop,황인엽,44.152,2,2333298,Acting,False
1164,Gemma Chan,Gemma Chan,44.133,1,97576,Acting,False
1165,Michael Bay,Michael Bay,44.096,2,865,Production,False
1166,Katherine McNamara,Katherine McNamara,44.088,1,968006,Acting,False
1167,Mirela Balić,Mirela Balić,44.075,1,3692236,Acting,False
1168,Danny DeVito,Danny DeVito,44.027,2,518,Acting,False
1169,Asa Germann,Asa Germann,43.985,2,2659895,Acting,False
1170,Simon Helberg,Simon Helberg,43.979,2,53863,Acting,False
1171,Kim Coates,Kim Coates,43.961,2,8335,Acting,False
1172,Nguyễn Bá Vinh,Nguyễn Bá Vinh,43.931,2,3031398,Acting,False
1173,Martin Kove,Martin Kove,43.896,2,56117,Acting,False
1174,Lili Simmons,Lili Simmons,43.876,1,1039525,Acting,False
1175,Gabriel Iglesias,Gabriel Iglesias,43.842,2,86498,Acting,False
1176,Stellan Skarsgård,Stellan Skarsgård,43.842,2,1640,Acting,False
1177,Adam Scott,Adam Scott,43.835,2,36801,Acting,False
1178,Embeth Davidtz,Embeth Davidtz,43.827,1,6368,Acting,False
1179,Joanie Laurer,Joanie Laurer,43.824,1,87384,Acting,False
1180,Dennis Haysbert,Dennis Haysbert,43.818,2,352,Acting,False
1181,Leonid Kuravlyov,Леонид Куравлев,43.802,2,86663,Acting,False
1182,Eve Arden,Eve Arden,43.802,1,860,Acting,False
1183,Jacinda Barrett,Jacinda Barrett,43.799,1,6857,Acting,False
1184,Toby Kebbell,Toby Kebbell,43.771,2,20286,Acting,False
1185,Junji Majima,間島淳司,43.75,2,1241464,Acting,False
1186,Hiroshi Kashiwabara,柏原寛司,43.726,2,66156,Writing,False
1187,Kim Go-eun,김고은,43.725,1,1067849,Acting,False
1188,Kim Young-sun,김영선,43.718,1,147853,Acting,False
1189,Jason Sudeikis,Jason Sudeikis,43.712,2,58224,Acting,False
1190,Kaito Ishikawa,石川界人,43.702,2,1324666,Acting,False
1191,Ali Fumiko Whitney,Ali Fumiko Whitney,43.696,1,3210008,Acting,False
1192,William H. Macy,William H. Macy,43.686,2,3905,Acting,False
1193,Mun Ka-young,문가영,43.663,1,1252016,Acting,False
1194,Joey Fisher,Joey Fisher,43.648,1,1478376,Acting,False
1195,Noah Jupe,Noah Jupe,43.644,2,1590759,Acting,False
1196,Ayano Yamamoto,山本彩乃,43.644,1,147896,Acting,False
1197,Wyatt Russell,Wyatt Russell,43.615,2,986808,Acting,False
1198,Danny Huston,Danny Huston,43.611,2,6413,Acting,False
1199,Sachiko Murase,村瀬幸子,43.606,1,86396,Acting,False
1200,Hiroshi Kamiya,神谷浩史,43.584,2,93801,Acting,False
1201,Walton Goggins,Walton Goggins,43.581,2,27740,Acting,False
1202,Rosabell Laurenti Sellers,Rosabell Laurenti Sellers,43.573,1,992808,Acting,False
1203,Maria Bello,Maria Bello,43.548,1,49,Acting,False
1204,Xander Berkeley,Xander Berkeley,43.535,2,3982,Acting,False
1205,Tao Tsuchiya,土屋太鳳,43.528,1,1076363,Acting,False
1206,Carice van Houten,Carice van Houten,43.528,1,23229,Acting,False
1207,David Attenborough,David Attenborough,43.522,2,86543,Acting,False
1208,Joel Edgerton,Joel Edgerton,43.522,2,33192,Acting,False
1209,He Saifei,何賽飛,43.52,1,64987,Acting,False
1210,Dane DeHaan,Dane DeHaan,43.513,2,122889,Acting,False
1211,Michelle Forbes,Michelle Forbes,43.507,1,41820,Acting,False
1212,Richard Chamberlain,Richard Chamberlain,43.497,2,28906,Acting,False
1213,Mackenzie Crook,Mackenzie Crook,43.492,2,1711,Acting,False
1214,Cho Yeo-jeong,조여정,43.478,1,556435,Acting,False
1215,Diane Venora,Diane Venora,43.476,1,6200,Acting,False
1216,Courtney Eaton,Courtney Eaton,43.473,1,1278500,Acting,False
1217,Akari Kito,鬼頭明里,43.46,1,1563442,Acting,False
1218,Nassim Lyes,Nassim Lyes,43.44,2,1003260,Acting,False
1219,Rachel House,Rachel House,43.44,1,15298,Acting,False
1220,Shannen Doherty,Shannen Doherty,43.434,1,19144,Acting,False
1221,Jim Varney,Jim Varney,43.434,2,12899,Acting,False
1222,Mao Ichimichi,市道真央,43.421,1,1161472,Acting,False
1223,Son Suk-ku,손석구,43.404,2,2035488,Acting,False
1224,Kang Gary,강개리,43.391,2,1241034,Acting,False
1225,Tom Bower,Tom Bower,43.389,2,19453,Acting,False
1226,Catherine Keener,Catherine Keener,43.373,1,2229,Acting,False
1227,Kim Hye-yoon,김혜윤,43.368,1,2214888,Acting,False
1228,Peter Jackson,Peter Jackson,43.367,2,108,Directing,False
1229,Christopher Lee,Christopher Lee,43.36,2,113,Acting,False
1230,Marsha Thomason,Marsha Thomason,43.334,1,36219,Acting,False
1231,Steven Seagal,Steven Seagal,43.322,2,23880,Acting,False
1232,Chupong Changprung,ชูพงษ์ ช่างปรุง,43.308,2,64358,Acting,False
1233,Alyssa Diaz,Alyssa Diaz,43.307,1,134180,Acting,False
1234,Sylvia Kristel,Sylvia Kristel,43.307,1,35319,Acting,False
1235,Mia Sara,Mia Sara,43.304,1,29091,Acting,False
1236,Moe Hashim,Moe Hashim,43.284,2,3170414,Acting,False
1237,Lee Min-ho,이민호,43.28,2,1245104,Acting,False
1238,Sally Hawkins,Sally Hawkins,43.266,1,39658,Acting,False
1239,John Ventimiglia,John Ventimiglia,43.263,2,87707,Acting,False
1240,Rebecca Staab,Rebecca Staab,43.26,1,88168,Acting,False
1241,Shin Eun-soo,신은수,43.253,1,1576065,Acting,False
1242,Samara Weaving,Samara Weaving,43.245,1,1372369,Acting,False
1243,Fernando Lindez,Fernando Lindez,43.231,2,2649290,Acting,False
1244,Darren Boyd,Darren Boyd,43.215,2,17123,Acting,False
1245,Johnny Lu,路斯明,43.209,2,586486,Acting,False
1246,Demi Lovato,Demi Lovato,43.202,3,85138,Acting,False
1247,Ryoo Seung-wan,류승완,43.197,2,86325,Directing,False
1248,Jamie Lee Curtis,Jamie Lee Curtis,43.195,1,8944,Acting,False
1249,Kaan Urgancıoğlu,Kaan Urgancıoğlu,43.188,2,145408,Acting,False
1250,Andreas Katsulas,Andreas Katsulas,43.171,2,43773,Acting,False
1251,Bokeem Woodbine,Bokeem Woodbine,43.165,2,71913,Acting,False
1252,Yu Rongguang,于荣光,43.156,2,120725,Acting,False
1253,Charlotte Rampling,Charlotte Rampling,43.148,1,44079,Acting,False
1254,Tony Leung Ka-fai,梁家輝,43.113,2,56861,Acting,False
1255,Shawn Ashmore,Shawn Ashmore,43.112,2,11023,Acting,False
1256,Donnie Yen,Donnie Yen,43.092,2,1341,Acting,False
1257,Richard Crenna,Richard Crenna,43.068,2,16554,Acting,False
1258,Yoon Kyun-sang,윤균상,43.064,2,1473879,Acting,False
1259,Peter Facinelli,Peter Facinelli,43.043,2,56857,Acting,False
1260,Odette Annable,Odette Annable,43.0,1,51992,Acting,False
1261,Mark Chao,趙又廷,42.989,2,993943,Acting,False
1262,Isabel Gravitt,Isabel Gravitt,42.984,1,1775560,Acting,False
1263,Mitsuru Hongo,本郷みつる,42.983,2,99202,Directing,False
1264,Nam Sang-mi,남상미,42.969,1,87890,Acting,False
1265,Hattie Morahan,Hattie Morahan,42.968,1,56103,Acting,False
1266,Helena Mattsson,Helena Mattsson,42.962,1,113676,Acting,False
1267,Danai Gurira,Danai Gurira,42.952,1,82104,Acting,False
1268,Wes Anderson,Wes Anderson,42.944,2,5655,Directing,False
1269,Chloë Sevigny,Chloë Sevigny,42.932,1,2838,Acting,False
1270,Katie Holmes,Katie Holmes,42.92,1,3897,Acting,False
1271,Eugene Levy,Eugene Levy,42.91,2,26510,Acting,False
1272,Lucy Boynton,Lucy Boynton,42.902,1,86232,Acting,False
1273,Jung Ryeo-won,정려원,42.874,1,108535,Acting,False
1274,Alex Carter,Alex Carter,42.857,2,21724,Acting,False
1275,Ashley Williams,Ashley Williams,42.855,1,122888,Acting,False
1276,Alan Cumming,Alan Cumming,42.847,2,10697,Acting,False
1277,Kat Dennings,Kat Dennings,42.838,1,52852,Acting,False
1278,Alexander Skarsgård,Alexander Skarsgård,42.817,2,28846,Acting,False
1279,Wallace Shawn,Wallace Shawn,42.809,2,12900,Acting,False
1280,Angourie Rice,Angourie Rice,42.8,1,1265629,Acting,False
1281,Javon Walton,Javon Walton,42.794,2,2532098,Acting,False
1282,Julia Roberts,Julia Roberts,42.791,1,1204,Acting,False
1283,Kirsten Vangsness,Kirsten Vangsness,42.783,1,123727,Acting,False
1284,Zach Gilford,Zach Gilford,42.76,2,70303,Acting,False
1285,Sandrine Holt,Sandrine Holt,42.758,1,65345,Acting,False
1286,Morris Chestnut,Morris Chestnut,42.747,2,9779,Acting,False
1287,Minoru Inaba,稲葉実,42.746,2,217141,Acting,False
1288,Michael Smiley,Michael Smiley,42.74,2,17078,Acting,False
1289,Tamlyn Tomita,Tamlyn Tomita,42.738,1,3134,Acting,False
1290,Danica McKellar,Danica McKellar,42.729,1,65220,Acting,False
1291,Jack Nicholson,Jack Nicholson,42.716,2,514,Acting,False
1292,Gillian Anderson,Gillian Anderson,42.711,1,12214,Acting,False
1293,Park Eun-hye,박은혜,42.708,1,1243486,Acting,False
1294,Wilson Bethel,Wilson Bethel,42.701,2,85779,Acting,False
1295,Brianna Hildebrand,Brianna Hildebrand,42.693,1,1492326,Acting,False
1296,Vladimir Mashkov,Владимир Машков,42.679,2,86151,Acting,False
1297,Kristen Schaal,Kristen Schaal,42.677,1,109869,Acting,False
1298,Reiko Takagi,高木礼子,42.676,1,1147714,Acting,False
1299,Jennifer Holland,Jennifer Holland,42.673,1,87165,Acting,False
1300,Michael Smiley,Michael Smiley,42.74,2,17078,Acting,False
1301,Tamlyn Tomita,Tamlyn Tomita,42.738,1,3134,Acting,False
1302,Danica McKellar,Danica McKellar,42.729,1,65220,Acting,False
1303,Jack Nicholson,Jack Nicholson,42.716,2,514,Acting,False
1304,Gillian Anderson,Gillian Anderson,42.711,1,12214,Acting,False
1305,Park Eun-hye,박은혜,42.708,1,1243486,Acting,False
1306,Wilson Bethel,Wilson Bethel,42.701,2,85779,Acting,False
1307,Brianna Hildebrand,Brianna Hildebrand,42.693,1,1492326,Acting,False
1308,Vladimir Mashkov,Владимир Машков,42.679,2,86151,Acting,False
1309,Kristen Schaal,Kristen Schaal,42.677,1,109869,Acting,False
1310,Reiko Takagi,高木礼子,42.676,1,1147714,Acting,False
1311,Jennifer Holland,Jennifer Holland,42.673,1,87165,Acting,False
1312,Alicia Witt,Alicia Witt,42.671,1,3128,Acting,False
1313,Aaron Ashmore,Aaron Ashmore,42.666,2,90130,Acting,False
1314,Shinpachi Tsuji,辻󠄀親八,42.647,2,65438,Acting,False
1315,Stephen Dorff,Stephen Dorff,42.64,2,10822,Acting,False
1316,Clara Lago,Clara Lago,42.629,1,224731,Acting,False
1317,Gillian Jacobs,Gillian Jacobs,42.625,1,94098,Acting,False
1318,Seda Bakan,Seda Bakan,42.624,1,1254547,Acting,False
1319,Michael Cera,Michael Cera,42.622,2,39995,Acting,False
1320,Tiffany Grey,Tiffany Grey,42.621,1,3653066,Acting,False
1321,Alex Wolff,Alex Wolff,42.617,2,934281,Acting,False
1322,Emily VanCamp,Emily VanCamp,42.601,1,84247,Acting,False
1323,Shawn Levy,Shawn Levy,42.599,2,17825,Directing,False
1324,Atticus Shaffer,Atticus Shaffer,42.591,2,66646,Acting,False
1325,Tan Jianci,檀兮爾,42.565,2,2122379,Acting,False
1326,Tetsuro Tamba,丹波哲郎,42.55,2,10071,Acting,False
1327,Nestor Carbonell,Nestor Carbonell,42.543,2,21316,Acting,False
1328,Yu Serizawa,芹澤優,33.961,1,1356201,Acting,False
1329,Tony Jay,Tony Jay,42.535,2,65598,Acting,False
1330,Omi Minami,南央美,42.519,1,1239107,Acting,False
1331,Cleopatra Coleman,Cleopatra Coleman,42.508,1,217055,Acting,False
1332,Neil Dudgeon,Neil Dudgeon,42.508,2,87097,Acting,False
1333,Joo Hyun,주현,42.507,2,87792,Acting,False
1334,Daryl Hannah,Daryl Hannah,42.483,1,589,Acting,False
1335,Henry Fonda,Henry Fonda,42.46,2,4958,Acting,False
1336,Kim Hong-pa,김홍파,42.455,2,1287909,Acting,False
1337,Shioli Kutsuna,Shioli Kutsuna,42.448,1,230660,Acting,False
1338,Gilles Marini,Gilles Marini,42.448,2,58723,Acting,False
1339,Molly Kunz,Molly Kunz,42.414,1,592319,Acting,False
1340,Jeremy Irons,Jeremy Irons,42.409,2,16940,Acting,False
1341,Malin Åkerman,Malin Åkerman,42.406,1,50463,Acting,False
1342,Jin Seo-yool,Jin Seo-yool,42.398,1,3674045,Acting,False
1343,David Thewlis,David Thewlis,42.391,2,11207,Acting,False
1344,Owen Teale,Owen Teale,42.388,2,58654,Acting,False
1345,Logan Lerman,Logan Lerman,42.384,2,33235,Acting,False
1346,Timothy Omundson,Timothy Omundson,42.38,2,134423,Acting,False
1347,Bill Murray,Bill Murray,42.377,2,1532,Acting,False
1348,Sam Spruell,Sam Spruell,42.376,2,55585,Acting,False
1349,Song Geon-hee,송건희,42.359,2,2218708,Acting,False
1350,Yang Zishan,楊子姍,42.349,1,586419,Acting,False
1351,Mae Whitman,Mae Whitman,42.326,1,52404,Acting,False
1352,Kelly Overton,Kelly Overton,42.318,1,61829,Acting,False
1353,Gabrielle Union,Gabrielle Union,42.312,1,17773,Acting,False
1354,David Kross,David Kross,42.307,2,5847,Acting,False
1355,Viktor Bychkov,Виктор Бычков,42.301,2,86718,Acting,False
1356,Song Kang-ho,송강호,42.293,2,20738,Acting,False
1357,Tom Welling,Tom Welling,42.287,2,11824,Acting,False
1358,Kazuki Kitamura,北村一輝,42.262,2,2542,Acting,False
1359,Pamela Adlon,Pamela Adlon,42.26,1,21063,Acting,False
1360,Taika Waititi,Taika Waititi,42.107,2,55934,Directing,False
1361,Ben Mendelsohn,Ben Mendelsohn,42.095,2,77335,Acting,False
1362,Valeriy Nikolaev,Валерий Николаев,42.091,2,128719,Acting,False
1363,Dominic Cooper,Dominic Cooper,42.087,2,55470,Acting,False
1364,Chris Tucker,Chris Tucker,42.086,2,66,Acting,False
1365,Elena Kampouris,Elena Kampouris,42.074,1,1278724,Acting,False
1366,Yu Aoi,蒼井優,42.063,1,84028,Acting,False
1367,Kate Micucci,Kate Micucci,42.052,1,132354,Acting,False
1368,Aya Cash,Aya Cash,42.043,1,133451,Acting,False
1369,White Sugar,White Sugar,42.01,1,4450888,Acting,False
1370,Deepika Padukone,Deepika Padukone,42.007,1,53975,Acting,False
1371,Hafsanur Sancaktutan,Hafsanur Sancaktutan,41.995,1,2406828,Acting,False
1372,Lee Ji-ah,이지아,41.992,1,1241056,Acting,False
1373,George Lucas,George Lucas,41.991,2,1,Directing,False
1374,Vijay Sethupathi,Vijay Sethupathi,41.985,2,1123766,Acting,False
1375,Dub Taylor,Dub Taylor,41.978,2,6463,Acting,False
1376,Francisca Estevez,Francisca Estevez,41.973,1,2919104,Acting,False
1377,Roy Chiu,邱澤,41.971,2,1240922,Acting,False
1378,Ethan Cutkosky,Ethan Cutkosky,41.971,2,132213,Acting,False
1379,Choi Jin-hyuk,최진혁,41.97,2,1330916,Acting,False
1380,Vincent Tong,Vincent Tong,41.959,2,1240645,Acting,False
1381,Emily Cox,Emily Cox,41.958,1,144344,Acting,False
1382,Kat Graham,Kat Graham,41.951,1,159962,Acting,False
1383,Brenda Song,Brenda Song,41.948,1,88123,Acting,False
1384,Will Patton,Will Patton,41.921,2,883,Acting,False
1385,Mischa Barton,Mischa Barton,41.89,1,11617,Acting,False
1386,A.S. Ravi Kumar Chowdary,A.S. Ravi Kumar Chowdary,41.875,0,1314927,Directing,False
1387,Cate Blanchett,Cate Blanchett,41.866,1,112,Acting,False
1388,Lorenzo Zurzolo,Lorenzo Zurzolo,41.855,2,1526594,Acting,False
1389,Úrsula Corberó,Úrsula Corberó,41.845,1,1042728,Acting,False
1390,Kip Pardue,Kip Pardue,41.843,2,65561,Acting,False
1391,Tessa Thompson,Tessa Thompson,41.83,1,62561,Acting,False
1392,Richard Dreyfuss,Richard Dreyfuss,41.815,2,3037,Acting,False
1393,Kwak Dong-yeon,곽동연,41.814,2,1385609,Acting,False
1394,Skyler Gisondo,Skyler Gisondo,41.799,2,61263,Acting,False
1395,Tomas Milian,Tomas Milian,41.798,2,21708,Acting,False
1396,Scott Foley,Scott Foley,41.79,2,35595,Acting,False
1397,Jo Hye-joo,Jo Hye-joo,41.769,1,2887247,Acting,False
1398,Yûko Tanaka,Yûko Tanaka,41.766,1,20331,Acting,False
1399,Ivana Miličević,Ivana Miličević,41.765,1,29930,Acting,False
1400,Will Patton,Will Patton,41.921,2,883,Acting,False
1401,Mischa Barton,Mischa Barton,41.89,1,11617,Acting,False
1402,A.S. Ravi Kumar Chowdary,A.S. Ravi Kumar Chowdary,41.875,0,1314927,Directing,False
1403,Cate Blanchett,Cate Blanchett,41.866,1,112,Acting,False
1404,Lorenzo Zurzolo,Lorenzo Zurzolo,41.855,2,1526594,Acting,False
1405,Úrsula Corberó,Úrsula Corberó,41.845,1,1042728,Acting,False
1406,Kip Pardue,Kip Pardue,41.843,2,65561,Acting,False
1407,Tessa Thompson,Tessa Thompson,41.83,1,62561,Acting,False
1408,Richard Dreyfuss,Richard Dreyfuss,41.815,2,3037,Acting,False
1409,Kwak Dong-yeon,곽동연,41.814,2,1385609,Acting,False
1410,Skyler Gisondo,Skyler Gisondo,41.799,2,61263,Acting,False
1411,Tomas Milian,Tomas Milian,41.798,2,21708,Acting,False
1412,Scott Foley,Scott Foley,41.79,2,35595,Acting,False
1413,Jo Hye-joo,Jo Hye-joo,41.769,1,2887247,Acting,False
1414,Yûko Tanaka,Yûko Tanaka,41.766,1,20331,Acting,False
1415,Ivana Miličević,Ivana Miličević,41.765,1,29930,Acting,False
1416,Serenay Sarıkaya,Serenay Sarıkaya,41.762,1,1258305,Acting,False
1417,Richard Armitage,Richard Armitage,41.758,2,30315,Acting,False
1418,Ai Kayano,茅野愛衣,41.756,1,1254671,Acting,False
1419,Matt Clark,Matt Clark,41.719,2,2454,Acting,False
1420,Richard Li,李菲,41.538,2,3264069,Acting,False
1421,Özge Özpirinçci,Özge Özpirinçci,41.535,1,582601,Acting,False
1422,Alba Rohrwacher,Alba Rohrwacher,41.535,1,128748,Acting,False
1423,Julie Andrews,Julie Andrews,41.526,1,5823,Acting,False
1424,Michael B. Jordan,Michael B. Jordan,41.512,2,135651,Acting,False
1425,Toru Furuya,古谷徹,41.499,2,40327,Acting,False
